Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.00,26.30,30.30,36.80,86.90,114.00,131.20,159.30
Child,2-3 years,21.20,26.70,32.30,39.10,91.90,115.70,140.10,169.50
Child,4-5 years,22.20,28.00,34.40,42.10,96.10,121.50,149.30,182.30
Child,6-8 years,28.10,37.40,46.50,54.80,121.60,162.20,201.40,237.50
Child,9-11 years,32.50,42.60,54.10,63.60,140.90,184.70,234.40,275.50
Male,12-13 years,34.30,48.00,59.20,70.20,148.70,207.80,256.70,304.10
Male,14-18 years,35.60,49.60,61.10,71.30,154.50,214.80,264.70,309.10
Male,19-50 years,38.20,49.00,61.00,74.10,165.40,212.50,264.30,321.30
Male,51-70 years,34.90,46.60,56.90,68.90,151.40,202.00,246.50,298.70
Male,71+ years,35.00,46.20,57.10,69.10,151.50,200.20,247.60,299.40
Female,12-13 years,34.50,41.90,50.30,60.90,149.40,181.40,217.80,264.00
Female,14-18 years,34.20,42.00,50.20,61.60,148.20,181.80,217.40,266.80
Female,19-50 years,34.20,42.90,52.10,67.30,148.20,185.90,225.90,291.80
Female,51-70 years,33.70,41.70,51.60,61.80,146.10,180.70,223.80,267.90
Female,71+ years,33.20,41.60,51.80,62.10,143.80,180.10,224.30,269.30
