Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.40,20.10,23.60,28.60,71.10,87.10,102.30,123.90
Child,2 years,16.40,20.10,23.60,28.60,71.10,87.10,102.30,123.90
Child,3-5 years,17.80,22.10,27.30,32.70,77.10,95.80,118.30,141.70
Child,6-8 years,22.10,29.40,36.60,42.60,95.80,127.40,158.60,184.60
Child,9-11 years,26.20,33.30,42.70,49.30,113.50,144.30,185.00,213.60
Male,12-14 years,27.10,37.70,46.80,55.00,117.40,163.40,202.80,238.30
Male,15-19 years,27.90,38.90,48.50,55.90,120.90,168.60,210.20,242.20
Male,20-50 years,29.80,38.70,48.20,58.30,129.10,167.70,208.90,252.60
Male,51 years and over,26.90,36.70,45.20,54.30,116.60,159.00,195.90,235.30
Female,12-19 years,27.20,32.50,39.40,47.60,117.90,140.80,170.70,206.30
Female,20-50 years,27.10,33.70,41.10,52.60,117.40,146.00,178.10,227.90
Female,51 years and over,26.50,32.80,40.70,48.60,114.80,142.10,176.40,210.60
