Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,$22.00,$29.80,$33.60,$41.10,$95.10,$129.10,$145.80,$177.90
Child,2-3 years,$24.00,$30.80,$37.10,$45.40,$104.10,$133.70,$161.00,$196.60
Child,4-5 years,$25.40,$31.90,$39.60,$48.20,$109.90,$138.20,$171.70,$209.00
Child,6-8 years,$32.50,$45.50,$54.10,$63.90,$140.70,$197.20,$234.40,$276.90
Child,9-11 years,$36.60,$48.20,$62.70,$72.90,$158.70,$209.00,$271.90,$316.10
Male,12-13 years,$39.10,$55.50,$69.70,$81.70,$169.60,$240.30,$302.00,$354.20
Male,14-18 years,$40.10,$56.10,$71.80,$82.80,$173.80,$243.20,$311.10,$358.70
Male,19-50 years,$43.50,$56.30,$70.50,$86.90,$188.30,$243.70,$305.40,$376.70
Male,51-70 years,$39.60,$53.00,$66.10,$79.80,$171.50,$229.50,$286.40,$345.60
Male,71+ years,$39.90,$52.70,$65.20,$80.70,$172.80,$228.20,$282.50,$349.60
Female,12-13 years,$39.10,$47.80,$57.80,$70.80,$169.30,$206.90,$250.30,$306.90
Female,14-18 years,$38.40,$48.00,$58.30,$71.70,$166.50,$208.10,$252.50,$310.60
Female,19-50 years,$38.60,$48.80,$60.40,$77.00,$167.10,$211.60,$261.60,$333.50
Female,51-70 years,$38.10,$47.40,$59.00,$71.40,$164.90,$205.60,$255.80,$309.20
Female,71+ years,$37.30,$47.20,$58.60,$70.60,$161.80,$204.50,$254.10,$306.10
