Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.30,18.90,22.20,26.90,66.30,81.90,96.20,116.60
Child,3-5 years,16.60,20.60,25.50,30.60,71.90,89.30,110.50,132.60
Child,6-8 years,20.50,27.50,34.10,39.70,88.80,119.20,147.80,172.00
Child,9-11 years,24.40,31.10,39.70,46.00,105.70,134.80,172.00,199.30
Male,12-14 years,25.20,35.10,43.50,51.10,109.20,152.10,188.50,221.40
Male,15-19 years,25.90,36.10,45.00,51.90,112.20,156.40,195.00,224.90
Male,20-50 years,27.90,35.90,44.70,54.20,120.90,155.60,193.70,234.80
Male,51 years and over,25.10,34.20,42.10,50.50,108.80,148.20,182.40,218.80
Female,12-19 years,25.10,30.30,36.70,44.30,108.80,131.30,159.00,192.00
Female,20-50 years,25.20,31.40,38.20,49.00,109.20,136.10,165.50,212.30
Female,51 years and over,24.70,30.50,37.90,45.40,107.00,132.20,164.20,196.70
