Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.00,22.80,26.60,32.00,77.90,98.80,115.10,138.60
Child,2 years,18.00,22.50,26.90,32.30,77.90,97.30,116.40,139.90
Child,3-5 years,20.00,24.70,30.50,36.80,86.60,107.20,132.20,159.60
Child,6-8 years,25.30,33.50,41.30,48.30,109.50,145.10,179.10,209.30
Child,9-11 years,29.60,37.70,48.20,56.20,128.10,163.20,209.00,243.50
Male,12-14 years,30.80,42.60,52.60,62.30,133.50,184.40,228.00,270.20
Male,15-19 years,32.10,44.10,54.80,63.90,139.00,191.00,237.50,276.70
Male,20-50 years,34.10,43.80,54.60,66.80,147.80,190.00,236.80,289.60
Male,51 years and over,31.10,41.70,51.40,62.00,134.70,180.60,222.80,268.80
Female,12-19 years,30.70,36.90,44.60,54.10,133.10,159.90,193.40,234.40
Female,20-50 years,30.80,38.20,46.70,60.20,133.50,165.60,202.40,261.00
Female,51 years and over,30.30,37.10,46.20,55.60,131.30,160.70,200.20,241.10
