Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.80,18.20,21.30,25.90,64.30,79.10,92.50,112.20
Child,3-5 years,16.10,19.90,24.60,29.60,69.60,86.40,106.80,128.10
Child,6-8 years,19.80,26.50,33.00,38.40,85.60,114.60,142.80,166.30
Child,9-11 years,23.50,30.00,38.40,44.50,101.70,130.10,166.30,192.90
Male,12-14 years,24.40,33.90,42.10,49.50,105.50,147.00,182.30,214.40,FEMALE:,24.30,29.30,35.50,42.90,105.30,126.80,153.70,185.70
Male,15-19 years,25.10,34.90,43.50,50.20,108.90,151.30,188.30,217.70,12-19 years,24.40,30.40,36.90,47.30,105.90,131.70,159.90,205.20
Male,20-50 years,27.10,34.70,43.30,52.40,117.40,150.30,187.40,227.10,20-50 years,24.10,29.50,36.60,43.80,104.30,127.80,158.60,189.90
Female,12-19 years,24.30,29.30,35.50,42.90,105.30,126.80,153.70,185.70
Female,20-50 years,24.40,30.40,36.90,47.30,105.90,131.70,159.90,205.20
Female,51 years and over,24.10,29.50,36.60,43.80,104.30,127.80,158.60,189.90
