Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.60,28.70,32.60,39.50,93.40,124.20,141.10,171.20
Child,2-3 years,23.50,29.70,36.00,43.70,101.80,128.90,155.80,189.40
Child,4-5 years,24.50,30.90,38.20,46.40,106.00,133.70,165.50,200.80
Child,6-8 years,31.20,42.90,52.10,61.30,135.20,186.00,225.90,265.60
Child,9-11 years,35.40,46.70,60.30,70.30,153.60,202.50,261.40,304.60
Male,12-13 years,38.20,53.80,67.40,78.90,165.30,233.30,292.10,341.70
Male,14-18 years,39.20,54.80,69.40,79.50,170.10,237.60,300.90,344.60
Male,19-50 years,42.20,54.40,68.30,83.60,182.80,235.70,295.70,362.40
Male,51-70 years,38.60,51.40,63.90,76.80,167.10,222.60,276.70,332.70
Male,71+ years,38.90,51.00,63.10,77.70,168.40,221.00,273.50,336.90
Female,12-13 years,38.20,46.50,55.70,68.20,165.40,201.30,241.40,295.30
Female,14-18 years,37.50,46.50,56.30,69.20,162.70,201.70,243.90,299.90
Female,19-50 years,37.60,47.20,58.40,74.40,162.80,204.40,253.00,322.50
Female,51-70 years,37.10,46.10,57.40,68.70,160.90,199.90,248.80,297.80
Female,71+ years,36.20,45.80,56.80,68.30,156.90,198.50,245.90,295.80
