Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.40,19.10,22.30,27.20,66.70,82.80,96.60,117.90
Child,3-5 years,16.70,20.80,25.70,30.90,72.40,90.10,111.40,133.90
Child,6-8 years,20.70,27.70,34.40,40.00,89.70,120.00,149.10,173.30
Child,9-11 years,24.50,31.40,40.00,46.40,106.20,136.10,173.30,201.10
Male,12-14 years,25.30,35.40,43.80,51.50,109.60,153.40,189.80,223.10
Male,15-19 years,26.10,36.30,45.30,52.30,113.10,157.30,196.30,226.60
Male,20-50 years,28.00,36.10,45.00,54.50,121.30,156.40,195.00,236.10
Male,51 years and over,25.30,34.40,42.40,50.90,109.60,149.10,183.70,220.50
Female,12-19 years,25.30,30.50,36.90,44.60,109.60,132.20,159.90,193.30
Female,20-50 years,25.20,31.50,38.40,49.20,109.20,136.50,166.40,213.20
Female,51 years and over,24.80,30.70,38.10,45.60,107.50,133.00,165.10,197.60
