Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.70,22.10,26.00,31.20,76.90,95.90,112.80,135.00
Child,2 years,17.70,21.90,26.00,31.50,76.60,95.00,112.80,136.60
Child,3-5 years,19.50,24.20,30.00,35.90,84.60,104.90,129.80,155.40
Child,6-8 years,24.40,32.40,40.00,46.60,105.70,140.60,173.20,202.00
Child,9-11 years,28.60,36.50,46.80,54.20,123.80,158.10,202.80,234.90
Male,12-14 years,29.80,41.30,51.30,60.00,129.30,178.80,222.10,260.20
Male,15-19 years,30.70,42.50,53.40,61.80,133.20,184.10,231.40,267.80
Male,20-50 years,32.90,42.60,53.20,64.80,142.40,184.50,230.70,280.90
Male,51 years and over,30.00,40.60,50.10,60.10,129.90,176.00,217.20,260.40
Female,12-19 years,29.90,35.70,43.60,52.30,129.50,154.70,188.70,226.50
Female,20-50 years,29.90,37.10,45.50,58.60,129.40,160.90,197.20,253.80
Female,51 years and over,29.40,36.10,45.10,54.00,127.30,156.50,195.30,233.90
