Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.80,19.40,22.80,27.60,68.50,84.10,98.80,119.60
Child,2 years,15.70,19.40,22.80,27.60,68.00,84.10,98.80,119.60
Child,3-5 years,17.00,21.20,26.30,31.50,73.70,91.90,114.00,136.50
Child,6-8 years,21.10,28.20,35.20,40.90,91.40,122.20,152.50,177.20
Child,9-11 years,25.10,32.00,40.90,47.40,108.80,138.70,177.20,205.40
Male,12-14 years,25.90,36.20,44.90,52.80,112.20,156.90,194.60,228.80
Male,15-19 years,26.60,37.30,46.50,53.70,115.30,161.60,201.50,232.70
Male,20-50 years,28.50,37.00,46.20,56.00,123.50,160.30,200.20,242.60
Male,51 years and over,25.80,35.30,43.50,52.20,111.80,153.00,188.50,226.20
Female,12-19 years,25.90,31.20,37.90,45.80,112.20,135.20,164.20,198.50
Female,20-50 years,25.90,32.40,39.50,50.70,112.20,140.40,171.20,219.70
Female,51 years and over,25.40,31.50,39.10,46.90,110.10,136.50,169.40,203.20
