Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.80,27.70,31.60,38.30,90.20,119.80,137.00,165.80
Child,2-3 years,22.20,27.90,33.80,41.10,96.20,120.90,146.30,178.00
Child,4-5 years,23.10,29.30,36.00,43.90,100.10,126.80,156.10,190.20
Child,6-8 years,29.50,39.70,48.70,57.40,127.60,172.00,211.20,248.50
Child,9-11 years,34.10,44.30,56.60,66.60,147.80,191.80,245.30,288.60
Male,12-13 years,36.00,50.40,62.50,73.70,156.10,218.40,270.70,319.60
Male,14-18 years,37.60,52.40,65.20,75.00,162.90,226.90,282.40,325.00
Male,19-50 years,40.30,51.60,64.50,78.80,174.60,223.70,279.50,341.50
Male,51-70 years,37.00,49.00,59.80,72.40,160.10,212.30,259.10,313.90
Male,71+ years,37.00,48.50,60.10,73.80,160.10,210.20,260.30,319.60
Female,12-13 years,36.30,44.20,52.80,64.10,157.10,191.50,228.80,277.80
Female,14-18 years,36.00,44.40,53.50,65.70,156.00,192.40,232.00,284.90
Female,19-50 years,35.80,45.00,55.20,70.90,154.90,195.00,239.30,307.20
Female,51-70 years,35.50,43.90,54.40,64.70,154.00,190.30,235.80,280.40
Female,71+ years,34.80,43.50,54.30,65.20,151.00,188.50,235.10,282.50
