Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.90,18.30,21.40,25.90,64.50,79.10,92.50,112.20
Child,3-5 years,16.10,20.00,24.70,29.60,69.90,86.60,107.00,128.40
Child,6-8 years,19.80,26.50,33.10,38.50,85.90,114.90,143.40,166.70
Child,9-11 years,23.60,30.10,38.50,44.60,102.10,130.50,166.90,193.50
Male,12-14 years,24.40,34.00,42.20,49.70,105.80,147.50,182.80,215.30
Male,15-19 years,25.20,35.10,43.70,50.50,109.40,152.00,189.20,219.00
Male,20-50 years,27.20,34.80,43.60,52.80,118.00,150.80,189.00,228.90
Male,51 years and over,24.60,33.30,41.00,49.20,106.40,144.20,177.70,213.20
Female,12-19 years,24.40,29.30,35.60,43.00,105.80,127.00,154.10,186.10
Female,20-50 years,24.50,30.60,37.20,47.60,106.30,132.60,161.10,206.40
Female,51 years and over,24.10,29.60,36.80,44.10,104.40,128.30,159.50,191.00
