Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.70,26.00,29.80,36.00,85.50,112.60,128.90,156.20
Child,2-3 years,21.40,26.80,32.50,39.60,92.80,116.20,141.00,171.40
Child,4-5 years,22.20,28.10,34.60,42.30,96.00,121.50,149.80,183.30
Child,6-8 years,28.30,38.30,47.10,55.60,122.40,166.00,204.20,241.00
Child,9-11 years,32.20,42.60,54.50,63.80,139.70,184.50,236.30,276.40
Male,12-13 years,34.60,48.60,60.50,71.20,149.80,210.80,262.10,308.70
Male,14-18 years,35.90,50.30,63.10,71.80,155.70,217.90,273.20,311.20
Male,19-50 years,38.40,49.40,62.00,76.20,166.60,214.20,268.80,330.00
Male,51-70 years,35.10,46.80,57.40,69.40,152.20,202.80,248.70,300.80
Male,71+ years,35.40,46.40,57.40,70.80,153.30,200.90,248.50,306.70
Female,12-13 years,34.80,42.30,50.60,61.70,150.80,183.40,219.00,267.30
Female,14-18 years,34.20,42.40,51.60,63.20,148.40,183.90,223.50,273.80
Female,19-50 years,34.10,42.90,52.90,67.90,147.70,185.80,229.40,294.00
Female,51-70 years,33.80,41.90,52.00,61.90,146.30,181.40,225.50,268.30
Female,71+ years,32.80,41.40,51.30,61.80,142.30,179.30,222.40,267.70
