Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.20,18.70,22.00,26.70,65.90,81.00,95.30,115.70
Child,3-5 years,16.50,20.50,25.40,30.40,71.50,88.80,110.10,131.70
Child,6-8 years,20.40,27.30,34.00,39.50,88.40,118.30,147.30,171.20
Child,9-11 years,24.20,31.00,39.50,45.80,104.90,134.30,171.20,198.50
Male,12-14 years,25.10,35.00,43.30,50.90,108.80,151.70,187.60,220.50
Male,15-19 years,25.90,36.00,44.80,51.70,112.20,156.00,194.10,224.00
Male,20-50 years,27.90,35.80,44.60,54.10,120.90,155.10,193.30,234.40
Male,51 years and over,25.10,34.10,42.00,50.50,108.80,147.80,182.00,218.80
Female,12-19 years,25.00,30.10,36.60,44.20,108.30,130.40,158.60,191.50
Female,20-50 years,25.10,31.30,38.20,49.00,108.80,135.60,165.50,212.30
Female,51 years and over,24.70,30.40,37.80,45.30,107.00,131.70,163.80,196.30
